category,medicine_name,therapeutic_area,common_name,active_substance,product_number,patient_safety,authorisation_status,atc_code,additional_monitoring,generic,biosimilar,conditional_approval,exceptional_circumstances,accelerated_assessment,orphan_medicine,marketing_authorisation_date,date_of_refusal_of_marketing_authorisation,marketing_authorisation_holder_company_name,pharmacotherapeutic_group,date_of_opinion,decision_date,revision_number,condition_indication,species,first_published,revision_date,url
human,Invokana,"Diabetes Mellitus, Type 2",canagliflozin,canagliflozin,2649,False,authorised,A10BK02,False,False,False,False,False,False,False,11/15/13,,Janssen-Cilag International NV,Drugs used in diabetes,9/19/13,2/24/23,21.0,"Invokana is indicated for the treatment of adults with insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise:as monotherapy when metformin is considered inappropriate due to intolerance or contraindicationsin addition to other medicinal products for the treatment of diabetes.For study results with respect to combination of therapies, effects on glycaemic control, cardiovascular and renal events, and the populations studied, see sections 4.4, 4.5 and 5.1.",,2018-07-26T12:08:00Z,2023-02-27T16:19:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/invokana
human,Vokanamet,"Diabetes Mellitus, Type 2","canagliflozin, metformin","canagliflozin, metformin hydrochloride",2656,False,authorised,A10BD16,False,False,False,False,False,False,False,4/23/14,,Janssen-Cilag International NV,Drugs used in diabetes,,2/24/23,20.0,"Vokanamet is indicated in adults aged 18 years and older with type 2 diabetes mellitus as an adjunct to diet and exercise to improve glycaemic control:in patients not adequately controlled on their maximally tolerated doses of metformin alonein patients on their maximally tolerated doses of metformin along with other glucose lowering medicinal products including insulin, when these do not provide adequate glycaemic control.in patients already being treated with the combination of canagliflozin and metformin as separate tabletsFor study results with respect to combination of therapies, effects on glycaemic control and cardiovascular events, and the populations studied, see sections 4.4, 4.5 and 5.1.",,2018-03-15T17:03:00Z,2023-02-27T15:44:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/vokanamet
human,Ulunar Breezhaler,"Pulmonary Disease, Chronic Obstructive","indacaterol, glycopyrronium bromide","glycopyrronium bromide, indacaterol maleate",3875,False,authorised,R03AL04,False,False,False,False,False,False,False,4/23/14,,Novartis Europharm Limited,"Drugs for obstructive airway diseases,",,11/15/21,14.0,Ulunar Breezhaler is indicated as a maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,,2018-05-08T12:05:00Z,2023-02-24T11:19:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/ulunar-breezhaler
human,Telmisartan Actavis,Hypertension,telmisartan,telmisartan,1168,False,authorised,C09CA07,False,True,False,False,False,False,False,9/29/10,,Actavis Group PTC ehf,Agents acting on the renin-angiotensin system,6/24/10,9/24/21,11.0,"HypertensionTreatment of essential hypertension in adults.Cardiovascular preventionReduction of cardiovascular morbidity in patients with:manifest atherothrombotic cardiovascular disease (history of coronary heart disease, stroke, or peripheral arterial disease) or;type 2 diabetes mellitus with documented target organ damage.",,2018-08-21T00:00:00Z,2023-02-24T11:08:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/telmisartan-actavis
human,Mounjaro,"Diabetes Mellitus, Type 2",tirzepatide,tirzepatide,5620,False,authorised,A10B,False,False,False,False,False,False,False,9/15/22,,Eli Lilly Nederland B.V.,Drugs used in diabetes,7/21/22,2/23/23,1.0,"Mounjaro is indicated for the treatment of adults with insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise- as monotherapy when metformin is considered inappropriate due to intolerance or contraindications- in addition to other medicinal products for the treatment of diabetes.For study results with respect to combinations, effects on glycaemic control and the populations studied, see sections 4.4, 4.5 and 5.1.Mounjaro is indicated for the treatment of adults with insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise- as monotherapy when metformin is considered inappropriate due to intolerance or contraindications- in addition to other medicinal products for the treatment of diabetes.For study results with respect to combinations, effects on glycaemic control and the populations studied, see sections 4.4, 4.5 and 5.1.",,2022-07-18T13:49:00Z,2023-02-23T16:42:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/mounjaro
human,Rasilez,Hypertension,aliskiren,aliskiren,780,False,authorised,C09XA02,False,False,False,False,False,False,False,8/22/07,,Noden Pharma DAC,Agents acting on the renin-angiotensin system,,2/23/23,27.0,Treatment of essential hypertension.,,2018-05-04T00:00:00Z,2023-02-23T16:30:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/rasilez
human,Rasagiline Mylan,Parkinson Disease,rasagiline,rasagiline tartrate,4064,False,authorised,N04BD02,False,True,False,False,False,False,False,4/4/16,,Mylan Pharmaceuticals Limited,Anti-Parkinson drugs,1/28/16,2/22/23,7.0,Rasagiline Mylan is indicated for the treatment of idiopathic Parkinson’s disease (PD) as monotherapy (without levodopa) or as adjunct therapy (with levodopa) in patients with end of dose fluctuations.,,2016-05-18T12:02:00Z,2023-02-23T11:58:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/rasagiline-mylan
human,Stalevo,Parkinson Disease,"levodopa, carbidopa, entacapone","levodopa, carbidopa, entacapone",511,False,authorised,N04BA03,False,False,False,False,False,False,False,10/17/03,,Orion Corporation,Anti-Parkinson drugs,,1/12/23,29.0,Stalevo is indicated for the treatment of adult patients with Parkinson's disease and end-of-dose motor fluctuations not stabilised on levodopa / dopa-decarboxylase (DDC)-inhibitor treatment.,,2018-02-08T01:00:00Z,2023-02-23T10:07:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/stalevo
human,Buccolam,Epilepsy,midazolam,midazolam,2267,False,authorised,N05CD08,False,False,False,False,False,False,False,9/4/11,,Laboratorios Lesvi S.L.,"Psycholeptics,",6/23/11,2/8/23,17.0,"Treatment of prolonged, acute, convulsive seizures in infants, toddlers, children and adolescents (from three months to less than 18 years).Buccolam must only be used by parents / carers where the patient has been diagnosed to have epilepsy.For infants between three and six months of age, treatment should be in a hospital setting where monitoring is possible and resuscitation equipment is available.",,2018-07-25T12:52:00Z,2023-02-22T17:10:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/buccolam
human,Inovelon,Epilepsy,rufinamide,rufinamide,660,False,authorised,N03AF03,False,False,False,False,False,False,False,1/16/07,,Eisai GmbH,"Antiepileptics,",,2/16/23,23.0,Inovelon is indicated as adjunctive therapy in the treatment of seizures associated with Lennox Gastaut syndrome in patients 4 years of age and older.,,2018-08-03T09:57:00Z,2023-02-22T16:11:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/inovelon
human,Stocrin,HIV Infections,efavirenz,efavirenz,250,False,authorised,J05AG03,False,False,False,False,False,False,False,5/28/99,,Merck Sharp & Dohme B.V.,Antivirals for systemic use,2/24/99,2/20/23,48.0,"Stocrin is indicated in antiviral combination treatment of human-immunodeficiency-virus-1 (HIV-1)-infected adults, adolescents and children three years of age and older.Stocrin has not been adequately studied in patients with advanced HIV disease, namely in patients with CD4 counts < 50 cells/mm3, or after failure of protease-inhibitor (PI)-containing regimens. Although cross-resistance of efavirenz with PIs has not been documented, there are at present insufficient data on the efficacy of subsequent use of PI-based combination therapy after failure of regimens containing Stocrin.",,2018-07-30T00:00:00Z,2023-02-22T11:28:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/stocrin
human,Tolura,Hypertension,telmisartan,telmisartan,1196,False,authorised,C09CA07,False,True,False,False,False,False,False,6/4/10,,"Krka, d.d., Novo mesto ","Angiotensin II antagonists, plain",3/18/10,1/26/23,11.0,HypertensionTreatment of essential hypertension in adults.Cardiovascular preventionReduction of cardiovascular morbidity in patients with:manifest atherothrombotic cardiovascular disease (history of coronary heart disease or peripheral arterial disease) or;type 2 diabetes mellitus with documented target organ damage.,,2018-02-19T22:29:00Z,2023-02-22T10:42:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/tolura
human,Pifeltro,HIV Infections,doravirine,doravirine,4747,False,authorised,J05AG06,True,False,False,False,False,False,False,11/22/18,,Merck Sharp & Dohme B.V.,Antivirals for systemic use,9/20/18,10/10/22,7.0,"Pifeltro is indicated, in combination with other antiretroviral medicinal products, for the treatment of adults, and adolescents aged 12 years and older weighing at least 35 kg infected with HIV 1 without past or present evidence of resistance to the NNRTI class.",,2018-09-21T14:01:00Z,2023-02-20T18:28:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/pifeltro
human,Delstrigo,HIV Infections,"doravirine, lamivudine, tenofovir disoproxil","doravirine, lamivudine, tenofovir disoproxil fumarate",4746,False,authorised,J05AR,True,False,False,False,False,False,False,11/22/18,,Merck Sharp & Dohme B.V.,"Antivirals for treatment of HIV infections, combinations",9/20/18,10/10/22,10.0,"Delstrigo is indicated for the treatment of adults infected with HIV 1 without past or present evidence of resistance to the NNRTI class, lamivudine, or tenofovir., , Delstrigo is also indicated for the treatment of adolescents aged 12 years and older weighing at least 35 kg who are infected with HIV-1 without past or present evidence of resistance to the NNRTI class, lamivudine, or tenofovir and who have experienced toxicities which preclude the use of other regimens that do not contain tenofovir disoproxil.,",,2018-09-21T14:01:00Z,2023-02-20T17:58:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/delstrigo
human,Nexpovio,Multiple Myeloma,selinexor,selinexor,5127,False,authorised,L01XX66,True,False,False,False,False,False,False,3/26/21,,Stemline Therapeutics B.V.,Antineoplastic agents,1/28/21,1/26/23,7.0,"NEXPOVIO is indicatedin combination with bortezomib and dexamethasone for the treatment of adult patients with multiple myeloma who have received at least one prior therapy.in combination with dexamethasone for the treatment of multiple myeloma in adult patients who have received at least four prior therapies and whose disease is refractory to at least two proteasome inhibitors, two immunomodulatory agents and an anti-CD38 monoclonal antibody, and who have demonstrated disease progression on the last therapy.",,2021-05-27T14:50:00Z,2023-02-20T15:27:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/nexpovio
human,Odefsey,HIV Infections,"emtricitabine, rilpivirine, tenofovir alafenamide","emtricitabine, rilpivirine hydrochloride, tenofovir alafenamide",4156,False,authorised,J05AR19,False,False,False,False,False,False,False,6/21/16,,Gilead Sciences Ireland UC,Antivirals for systemic use,4/28/16,2/16/23,20.0,"Treatment of adults and adolescents (aged 12 years and older with body weight at least 35 kg) infected with human immunodeficiency virus 1 (HIV 1) without known mutations associated with resistance to the non nucleoside reverse transcriptase inhibitor (NNRTI) class, tenofovir or emtricitabine and with a viral load ≤ 100,000 HIV 1 RNA copies/mL.,",,2018-05-16T16:45:00Z,2023-02-20T12:17:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/odefsey
human,Velmetia,"Diabetes Mellitus, Type 2","sitagliptin, metformin","sitagliptin, metformin hydrochloride",862,False,authorised,A10BD07,False,False,False,False,False,False,False,7/16/08,,Merck Sharp & Dohme B.V.,Drugs used in diabetes,4/24/08,1/30/23,35.0,"For patients with type-2 diabetes mellitus:, , , 	Velmetia is indicated as an adjunct to diet and exercise to improve glycaemic control in patients inadequately controlled on their maximal tolerated dose of metformin alone or those already being treated with the combination of sitagliptin and metformin., 	Velmetia is indicated in combination with a sulphonylurea (i.e. triple combination therapy) as an adjunct to diet and exercise in patients inadequately controlled on their maximal tolerated dose of metformin and a sulphonylurea., 	Velmetia is indicated as triple combination therapy with a PPAR agonist (i.e. a thiazolidinedione) as an adjunct to diet and exercise in patients inadequately controlled on their maximal tolerated dose of metformin and a PPAR agonist., 	Velmetia is also indicated as add on to insulin (i.e. triple combination therapy) as an adjunct to diet and exercise to improve glycaemic control in patients when stable dosage of insulin and metformin alone do not provide adequate glycaemic control., ,",,2018-06-29T02:00:00Z,2023-02-20T10:46:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/velmetia
human,Descovy,HIV Infections,"emtricitabine, tenofovir alafenamide","emtricitabine, tenofovir alafenamide",4094,False,authorised,J05AR17,False,False,False,False,False,False,False,4/21/16,,Gilead Sciences Ireland UC,Antivirals for systemic use,2/25/16,2/16/23,20.0,Descovy is indicated in combination with other antiretroviral agents for the treatment of adults and adolescents (aged 12 years and older with body weight at least 35 kg) infected with human immunodeficiency virus type 1 (HIV-1).,,2018-05-28T11:44:00Z,2023-02-17T12:00:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/descovy
human,Amglidia,Diabetes Mellitus,glibenclamide,glibenclamide,4379,False,authorised,A10BB01,False,False,False,False,False,False,True,5/24/18,,Ammtek,Drugs used in diabetes,12/14/17,2/9/23,5.0,"Amglidia is indicated for the treatment of neonatal diabetes mellitus, for use in newborns, infants and children.Sulphonylureas like Amglidia have been shown to be effective in patients with mutations in the genes coding for the β-cell ATP-sensitive potassium channel and chromosome 6q24-related transient neonatal diabetes mellitus.",,2018-07-31T12:02:00Z,2023-02-16T16:22:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/amglidia
human,CoAprovel,Hypertension,"irbesartan, hydrochlorothiazide","irbesartan, hydrochlorothiazide",222,False,authorised,C09DA04,False,False,False,False,False,False,False,10/14/98,,Sanofi Winthrop Industrie,Agents acting on the renin-angiotensin system,7/22/98,1/30/23,46.0,Treatment of essential hypertension. This fixed dose combination is indicated in adult patients whose blood pressure is not adequately controlled on irbesartan or hydrochlorothiazide alone.,,2017-08-22T00:09:00Z,2023-02-16T14:54:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/coaprovel
human,Aprovel,Hypertension,irbesartan,irbesartan,141,False,authorised,C09CA04,False,False,False,False,False,False,False,8/26/97,,Sanofi Winthrop Industrie,Agents acting on the renin-angiotensin system,,1/30/23,47.0,Treatment of essential hypertension.Treatment of renal disease in patients with hypertension and type-2 diabetes mellitus as part of an antihypertensive medicinal-product regimen.,,2017-08-02T00:00:00Z,2023-02-16T14:44:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/aprovel
human,Darunavir Krka,HIV Infections,darunavir,darunavir,4273,False,authorised,J05AE10,False,True,False,False,False,False,False,1/26/18,,"KRKA, d.d., Novo mesto",Antivirals for systemic use,11/9/17,2/9/23,9.0,"400 and 800 mg, , Darunavir Krka, co-administered with low dose ritonavir is indicated in combination with other antiretroviral medicinal products for the treatment of patients with human immunodeficiency virus (HIV-1) infection., , Darunavir Krka 400 mg and 800 mg tablets may be used to provide suitable dose regimens for the treatment of HIV-1 infection in adult and paediatric patients from the age of 3 years and at least 40 kg body weight who are:, , , 	antiretroviral therapy (ART)-naïve (see section 4.2)., 	ART-experienced with no darunavir resistance associated mutations (DRV-RAMs) and who have plasma HIV-1 RNA < 100,000 copies/ml and CD4+ cell count ≥ 100 cells x 106/l. In deciding to initiate treatment with darunavir in such ART-experienced patients, genotypic testing should guide the use of darunavir (see sections 4.2, 4.3, 4.4 and 5.1)., , , 600 mg , , Darunavir Krka, co-administered with low dose ritonavir is indicated in combination with other antiretroviral medicinal products for the treatment of patients with human immunodeficiency virus (HIV-1) infection., , Darunavir Krka 600 mg tablets may be used to provide suitable dose regimens (see section 4.2):, , , 	For the treatment of HIV-1 infection in antiretroviral treatment (ART)-experienced adult patients, including those that have been highly pre-treated., 	For the treatment of HIV-1 infection in paediatric patients from the age of 3 years and at least 15 kg body weight., , , In deciding to initiate treatment with darunavir co-administered with low dose ritonavir, careful consideration should be given to the treatment history of the individual patient and the patterns of mutations associated with different agents. Genotypic or phenotypic testing (when available) and treatment history should guide the use of darunavir.,",,2018-06-13T12:12:00Z,2023-02-16T11:30:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/darunavir-krka
human,Tybost,HIV Infections,cobicistat,cobicistat,2572,False,authorised,V03AX03,False,False,False,False,False,False,False,9/19/13,,Gilead Sciences Ireland UC,Antivirals for systemic use,,2/13/23,15.0,Tybost is indicated as a pharmacokinetic enhancer of atazanavir 300 mg once daily or darunavir 800 mg once daily as part of antiretroviral combination therapy in human immunodeficiency virus-1 (HIV-1) infected adults and adolescents aged 12 years and older:weighing at least 35 kg co‑administered with atazanavir orweighing at least 40 kg co‑administered with darunavir.,,2018-07-26T11:29:00Z,2023-02-14T12:39:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/tybost
human,Epclusa,"Hepatitis C, Chronic","sofosbuvir, velpatasvir","sofosbuvir, velpatasvir",4210,False,authorised,J05A,False,False,False,False,False,True,False,7/6/16,,Gilead Sciences Ireland UC,Antivirals for systemic use,5/26/16,1/12/23,19.0,"Epclusa is indicated for the treatment of chronic hepatitis C virus (HCV) infection in patients 3 years of age and older (see sections 4.2, 4.4 and 5.1).",,2018-06-14T09:55:00Z,2023-02-09T11:47:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/epclusa
human,Harvoni,"Hepatitis C, Chronic","ledispavir, sofosbuvir","ledipasvir, sofosbuvir",3850,False,authorised,J05AX65,False,False,False,False,False,True,False,11/17/14,,Gilead Sciences Ireland UC,Antivirals for systemic use,,1/12/23,27.0,"Harvoni is indicated for the treatment of chronic hepatitis C (CHC) in adult and paediatric patients aged 3 years and above (see sections 4.2, 4.4 and 5.1).For hepatitis C virus (HCV) genotype-specific activity see sections 4.4 and 5.1.",,2018-06-07T09:51:00Z,2023-02-09T11:37:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/harvoni
human,Sovaldi,"Hepatitis C, Chronic",sofosbuvir,sofosbuvir,2798,False,authorised,J05AX15,False,False,False,False,False,True,False,1/16/14,,Gilead Sciences Ireland UC,Antivirals for systemic use,11/21/13,1/12/23,27.0,"Sovaldi is indicated in combination with other medicinal products for the treatment of chronic hepatitis C (CHC) in adult and paediatric patients aged 3 years and above (see sections 4.2, 4.4 and 5.1).For hepatitis C virus (HCV) genotype specific activity, see sections 4.4 and 5.1.Sovaldi is indicated in combination with other medicinal products for the treatment of chronic hepatitis C (CHC) in adults and paediatric patients aged 3 years and above (see sections 4.2, 4.4 and 5.1).For hepatitis C virus (HCV) genotype specific activity, see sections 4.4 and 5.1.",,2018-08-06T13:53:00Z,2023-02-09T11:29:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/sovaldi
human,Vosevi,"Hepatitis C, Chronic","sofosbuvir, velpatasvir, voxilaprevi","sofosbuvir, velpatasvir, voxilaprevi",4350,False,authorised,J05A,False,False,False,False,False,False,False,7/26/17,,Gilead Sciences Ireland UC,Antivirals for systemic use,6/22/17,1/12/23,14.0,"Vosevi is indicated for the treatment of chronic hepatitis C virus (HCV) infection in patients aged 12 years and older and weighing at least 30 kg. (see sections 4.2, 4.4 and 5.1).,",,2018-06-14T12:11:00Z,2023-02-09T10:39:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/vosevi
human,Emtricitabine/Tenofovir disoproxil Mylan,HIV Infections,"emtricitabine, tenofovir disoproxil","emtricitabine, tenofovir disoproxil maleate",4050,False,authorised,J05AR03,False,True,False,False,False,False,False,12/16/16,,Mylan Pharmaceuticals Limited,Antivirals for systemic use,10/13/16,2/2/23,12.0,"Treatment of HIV-1 infection:, , , 	Emtricitabine/Tenofovir disoproxil Mylan is indicated in antiretroviral combination therapy for the treatment of HIV-1 infected adults (see section 5.1)., 	Emtricitabine/Tenofovir disoproxil Mylan is also indicated for the treatment of HIV-1 infected adolescents, with NRTI resistance or toxicities precluding the use of first line agents, (see sections 4.2, 4.4 and 5.1)., , , Pre-exposure prophylaxis (PrEP):, , , 	Emtricitabine/Tenofovir disoproxil Mylan is indicated in combination with safer sex practices for pre-exposure prophylaxis to reduce the risk of sexually acquired HIV-1 infection in adults and adolescents at high risk (see sections 4.2, 4.4 and 5.1)., ,",,2017-06-02T12:00:00Z,2023-02-06T14:42:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/emtricitabine-tenofovir-disoproxil-mylan
